# Merged GW transfer function
# Convention: T_Omega(k) = Omega_GW,0 / P_T
# h used for convention conversion = 0.675
# Kite used below k = 1.00000000e+08 Mpc^-1
# Saikawa-Shirai used above k = 1.00000000e+08 Mpc^-1
# 
# Columns:
# 1: k [Mpc^-1]
# 2: f [Hz]
# 3: Omega_GW / P_T
1.2622829656290836e-02 1.9518525703160882e-17 5.1279218282718006e-06
1.2653176739259293e-02 1.9565451023003141e-17 5.1202463211275313e-06
1.2683596780943803e-02 1.9612489158007555e-17 5.1125823027328744e-06
1.2714089956747535e-02 1.9659640379397881e-17 5.1049297558913960e-06
1.2744656442495329e-02 1.9706904959049901e-17 5.0972886634324065e-06
1.2775296414434751e-02 1.9754283169493046e-17 5.0896590082108944e-06
1.2806010049237091e-02 1.9801775283911958e-17 5.0820407731075361e-06
1.2836797523998380e-02 1.9849381576148035e-17 5.0744339410286232e-06
1.2867659016240407e-02 1.9897102320701036e-17 5.0668384949060428e-06
1.2898594703911755e-02 1.9944937792730654e-17 5.0592544176972023e-06
1.2929604765388821e-02 1.9992888268058119e-17 5.0516816923850454e-06
1.2960689379476840e-02 2.0040954023167749e-17 5.0441203019779795e-06
1.2991848725410923e-02 2.0089135335208583e-17 5.0365702295098534e-06
1.3023082982857087e-02 2.0137432481995975e-17 5.0290314580398817e-06
1.3054392331913295e-02 2.0185845742013174e-17 5.0215039706526667e-06
1.3085776953110487e-02 2.0234375394412946e-17 5.0139877504581182e-06
1.3117237027413624e-02 2.0283021719019182e-17 5.0066686054199490e-06
1.3148772736222737e-02 2.0331784996328507e-17 4.9994126011664329e-06
1.3180384261373966e-02 2.0380665507511899e-17 4.9921671128071838e-06
1.3212071785140613e-02 2.0429663534416319e-17 4.9849321251018708e-06
1.3243835490234189e-02 2.0478779359566312e-17 4.9777076228322240e-06
1.3275675559805468e-02 2.0528013266165674e-17 4.9704935908020283e-06
1.3307592177445551e-02 2.0577365538099045e-17 4.9632900138371206e-06
1.3339585527186911e-02 2.0626836459933579e-17 4.9560968767852995e-06
1.3371655793504472e-02 2.0676426316920559e-17 4.9489141645163262e-06
1.3403803161316639e-02 2.0726135394997048e-17 4.9417418619219138e-06
1.3436027815986410e-02 2.0775963980787552e-17 4.9345799539156466e-06
1.3468329943322418e-02 2.0825912361605670e-17 4.9274284254329818e-06
1.3500709729579998e-02 2.0875980825455728e-17 4.9202872614311995e-06
1.3533167361462277e-02 2.0926169661034467e-17 4.9131564468894070e-06
1.3565703026121241e-02 2.0976479157732687e-17 4.9060359668084552e-06
1.3598316911158814e-02 2.1026909605636941e-17 4.8989258062109337e-06
1.3631009204627944e-02 2.1077461295531168e-17 4.8918259501411621e-06
1.3663780095033684e-02 2.1128134518898414e-17 4.8847363836651110e-06
1.3696629771334281e-02 2.1178929567922481e-17 4.8776744424974236e-06
1.3729558422942264e-02 2.1229846735489621e-17 4.8708327341384818e-06
1.3762566239725535e-02 2.1280886315190231e-17 4.8640006223554941e-06
1.3795653412008469e-02 2.1332048601320545e-17 4.8571780936877483e-06
1.3828820130573006e-02 2.1383333888884320e-17 4.8503651346934126e-06
1.3862066586659760e-02 2.1434742473594558e-17 4.8435617319495103e-06
1.3895392971969093e-02 2.1486274651875163e-17 4.8367678720518896e-06
1.3928799478662265e-02 2.1537930720862714e-17 4.8299835416152041e-06
1.3962286299362511e-02 2.1589710978408151e-17 4.8232087272728800e-06
1.3995853627156159e-02 2.1641615723078470e-17 4.8164434156770925e-06
1.4029501655593744e-02 2.1693645254158483e-17 4.8096875934987390e-06
1.4063230578691127e-02 2.1745799871652519e-17 4.8029412474274243e-06
1.4097040590930608e-02 2.1798079876286157e-17 4.7962043641713930e-06
1.4130931887262050e-02 2.1850485569507961e-17 4.7894769304575541e-06
1.4164904663104005e-02 2.1903017253491230e-17 4.7827589330314590e-06
1.4198959114344836e-02 2.1955675231135724e-17 4.7760503586571981e-06
1.4233095437343857e-02 2.2008459806069423e-17 4.7693511941174625e-06
1.4267313828932445e-02 2.2061371282650257e-17 4.7626614262134741e-06
1.4301614486415202e-02 2.2114409965967895e-17 4.7559810417649682e-06
1.4335997607571069e-02 2.2167576161845475e-17 4.7493910249822773e-06
1.4370463390654479e-02 2.2220870176841378e-17 4.7429462183843654e-06
1.4405012034396496e-02 2.2274292318250999e-17 4.7365101572302022e-06
1.4439643738005962e-02 2.2327842894108506e-17 4.7300828296524510e-06
1.4474358701170646e-02 2.2381522213188636e-17 4.7236642237998487e-06
1.4509157124058394e-02 2.2435330585008456e-17 4.7172543278372359e-06
1.4544039207318286e-02 2.2489268319829168e-17 4.7108531299455156e-06
1.4579005152081796e-02 2.2543335728657881e-17 4.7044606183216037e-06
1.4614055159963927e-02 2.2597533123249385e-17 4.6980767811784642e-06
1.4649189433064411e-02 2.2651860816108007e-17 4.6917016067450252e-06
1.4684408173968854e-02 2.2706319120489366e-17 4.6853350832662108e-06
1.4719711585749907e-02 2.2760908350402199e-17 4.6789771990028973e-06
1.4755099871968430e-02 2.2815628820610143e-17 4.6726279422318650e-06
1.4790573236674683e-02 2.2870480846633610e-17 4.6662873012458353e-06
1.4826131884409479e-02 2.2925464744751522e-17 4.6599552643533862e-06
1.4861776020205388e-02 2.2980580832003215e-17 4.6536318198789882e-06
1.4897505849587900e-02 2.3035829426190222e-17 4.6473169561629281e-06
1.4933321578576620e-02 2.3091210845878111e-17 4.6410106615613344e-06
1.4969223413686457e-02 2.3146725410398340e-17 4.6347129244461388e-06
1.5005211561928805e-02 2.3202373439850067e-17 4.6285625042356992e-06
1.5041286230812747e-02 2.3258155255102031e-17 4.6224886885914618e-06
1.5077447628346246e-02 2.3314071177794378e-17 4.6164228432914525e-06
1.5113695963037346e-02 2.3370121530340521e-17 4.6103649578766230e-06
1.5150031443895382e-02 2.3426306635929018e-17 4.6043150219016398e-06
1.5186454280432155e-02 2.3482626818525374e-17 4.5982730249348780e-06
1.5222964682663185e-02 2.3539082402874005e-17 4.5922389565584074e-06
1.5259562861108888e-02 2.3595673714500024e-17 4.5862128063679463e-06
1.5296249026795808e-02 2.3652401079711177e-17 4.5801945639728907e-06
1.5333023391257821e-02 2.3709264825599683e-17 4.5741842189962610e-06
1.5369886166537361e-02 2.3766265280044136e-17 4.5681817610746973e-06
1.5406837565186649e-02 2.3823402771711422e-17 4.5621871798584462e-06
1.5443877800268901e-02 2.3880677630058555e-17 4.5562004650113104e-06
1.5481007085359577e-02 2.3938090185334638e-17 4.5502216062106824e-06
1.5518225634547599e-02 2.3995640768582722e-17 4.5442505931474994e-06
1.5555533662436586e-02 2.4053329711641740e-17 4.5382874155262031e-06
1.5592931384146101e-02 2.4111157347148416e-17 4.5323320630647673e-06
1.5630419015312882e-02 2.4169124008539175e-17 4.5263845254946538e-06
1.5667996772092085e-02 2.4227230030052064e-17 4.5204447925607974e-06
1.5705664871158542e-02 2.4285475746728708e-17 4.5147039542780977e-06
1.5743423529707999e-02 2.4343861494416207e-17 4.5089771219089374e-06
