# Figure-8-style primordial GW spectrum
# V_inf^(1/4) = 1.50000000e+16 GeV
# h = 0.675
# P_T = 9.7269832849655301e-11
# 
# Columns:
# 1: f [Hz]
# 2: k [Mpc^-1]
# 3: Omega_GW h^2
3.0292344116494169e-17 1.9590367914433564e-02 1.7940763862240862e-16
3.0584748859968650e-17 1.9779469044493410e-02 1.7864139378609894e-16
3.0879976116408064e-17 1.9970395522476595e-02 1.7788194316784379e-16
3.1178053130854120e-17 2.0163164968029491e-02 1.7712572116995146e-16
3.1479007411338403e-17 2.0357795170876703e-02 1.7637271406672383e-16
3.1782866731420946e-17 2.0554304092462779e-02 1.7562817128359070e-16
3.2089659132753309e-17 2.0752709867609808e-02 1.7490805122441440e-16
3.2399412927666390e-17 2.0953030806190955e-02 1.7419088384017505e-16
3.2712156701783234e-17 2.1155285394820218e-02 1.7347665702415693e-16
3.3027919316657082e-17 2.1359492298558450e-02 1.7276535871928370e-16
3.3346729912434824e-17 2.1565670362635864e-02 1.7207025036062979e-16
3.3668617910546187e-17 2.1773838614191167e-02 1.7139002208779770e-16
3.3993613016418955e-17 2.1984016264027486e-02 1.7071248289400246e-16
3.4321745222220264e-17 2.2196222708385224e-02 1.7003762214877495e-16
3.4653044809624463e-17 2.2410477530732047e-02 1.6936542926366945e-16
3.4987542352607658e-17 2.2626800503570150e-02 1.6871643495195298e-16
3.5325268720269220e-17 2.2845211590260952e-02 1.6807361466723449e-16
3.5666255079680533e-17 2.3065730946867417e-02 1.6743324356844452e-16
3.6010532898761282e-17 2.3288378924014166e-02 1.6679531232403042e-16
3.6358133949183426e-17 2.3513176068765521e-02 1.6616380926428165e-16
3.6709090309303271e-17 2.3740143126521694e-02 1.6555384544124762e-16
3.7063434367121809e-17 2.3969301042933277e-02 1.6494612070906647e-16
3.7421198823273659e-17 2.4200670965834219e-02 1.6434062684835298e-16
3.7782416694044833e-17 2.4434274247193435e-02 1.6373735566989317e-16
